# Chinese Sentiment Lexicon for Text Content Security System
# Format: word	polarity	intensity	category
# Generated for Engineering Training Project 3

温馨	0.7	1.0	praise
满分	0.75	1.0	praise
满意	0.6	1.0	joy
满足	0.6	1.0	joy
漂亮	0.65	1.0	praise
激动	0.6	1.0	joy
点赞	0.55	1.0	joy
热情	0.6	1.0	joy
热爱	0.8	1.0	praise
爽	0.6	1.0	joy
牛	0.65	1.0	praise
物超所值	0.75	1.0	praise
独特	0.55	1.0	joy
独立	0.55	1.0	joy
理想	0.5	1.0	joy
理解	0.5	1.0	joy
甜蜜	0.75	1.0	praise
痛快	0.65	1.0	praise
相当好	0.7	1.0	praise
盼望	0.55	1.0	joy
真诚	0.65	1.0	praise
硬核	0.7	1.0	praise
祝愿	0.55	1.0	joy
祝福	0.6	1.0	joy
祝贺	0.55	1.0	joy
积极	0.55	1.0	joy
稳定	0.55	1.0	joy
突破	0.7	1.0	praise
笑	0.45	1.0	joy
笑容	0.55	1.0	joy
简单	0.3	1.0	sentiment
简洁	0.4	1.0	joy
精准	0.55	1.0	joy
精彩	0.85	1.0	praise
精湛	0.85	1.0	praise
精确	0.45	1.0	joy
精美	0.75	1.0	praise
精致	0.6	1.0	joy
精辟	0.65	1.0	praise
繁荣	0.65	1.0	praise
细腻	0.5	1.0	joy
经典	0.75	1.0	praise
给力	0.65	1.0	praise
绝佳	0.9	1.0	praise
美丽	0.7	1.0	praise
美味	0.65	1.0	praise
美好	0.8	1.0	praise
美妙	0.8	1.0	praise
美满	0.85	1.0	praise
聪明	0.6	1.0	joy
肯定	0.55	1.0	joy
胜利	0.75	1.0	praise
自主	0.5	1.0	joy
自在	0.55	1.0	joy
自由	0.65	1.0	praise
自豪	0.7	1.0	praise
致谢	0.5	1.0	joy
舒服	0.55	1.0	joy
舒爽	0.55	1.0	joy
舒适	0.6	1.0	joy
良心	0.7	1.0	praise
荣幸	0.7	1.0	praise
获胜	0.7	1.0	praise
萌	0.45	1.0	joy
蛮好	0.4	1.0	joy
解压	0.55	1.0	joy
认可	0.55	1.0	joy
资深	0.6	1.0	joy
赞	0.65	1.0	praise
赞叹	0.75	1.0	praise
赞同	0.5	1.0	joy
赞赏	0.7	1.0	praise
赢	0.6	1.0	joy
轻松	0.5	1.0	joy
辉煌	0.8	1.0	praise
过瘾	0.6	1.0	joy
还好	0.1	1.0	sentiment
还行	0.2	1.0	sentiment
进取	0.5	1.0	joy
进步	0.55	1.0	joy
迷人	0.65	1.0	praise
透彻	0.55	1.0	joy
逗	0.4	1.0	joy
重大	0.4	1.0	joy
重要	0.35	1.0	joy
钟爱	0.75	1.0	praise
雀跃	0.75	1.0	praise
青睐	0.65	1.0	praise
顶级	0.88	1.0	praise
领先	0.7	1.0	praise
饱满	0.5	1.0	joy
香甜	0.55	1.0	joy
骄傲	0.55	1.0	joy
高兴	0.6	1.0	joy
高效	0.65	1.0	praise
魅力	0.65	1.0	praise
一塌糊涂	-0.85	1.0	anger
上当	-0.6	1.0	criticism
下流	-0.75	1.0	anger
不值	-0.5	1.0	sadness
不公	-0.7	1.0	criticism
不公平	-0.65	1.0	criticism
不兼容	-0.5	1.0	sadness
不匹配	-0.4	1.0	sadness
不堪	-0.75	1.0	anger
不堪一击	-0.7	1.0	criticism
不安	-0.45	1.0	sadness
不平等	-0.65	1.0	criticism
不快	-0.5	1.0	sadness
不悦	-0.5	1.0	sadness
不满	-0.5	1.0	sadness
不爽	-0.45	1.0	sadness
不足	-0.35	1.0	sadness
不适	-0.4	1.0	sadness
丢脸	-0.55	1.0	criticism
丧气	-0.55	1.0	criticism
乏味	-0.55	1.0	criticism
争吵	-0.55	1.0	criticism
亏	-0.45	1.0	sadness
仇恨	-0.85	1.0	anger
令人作呕	-0.85	1.0	anger
令人讨厌	-0.7	1.0	criticism
伤害	-0.6	1.0	criticism
伤心	-0.65	1.0	criticism
伤感	-0.55	1.0	criticism
伪劣	-0.8	1.0	anger
低劣	-0.75	1.0	anger
低迷	-0.5	1.0	sadness
侮辱	-0.75	1.0	anger
偏见	-0.6	1.0	criticism
冗余	-0.4	1.0	sadness
冲突	-0.5	1.0	sadness
冷	-0.2	1.0	sentiment
冷淡	-0.55	1.0	criticism
冷漠	-0.65	1.0	criticism
凄凉	-0.7	1.0	criticism
凄惨	-0.75	1.0	anger
凶残	-0.85	1.0	anger
出卖	-0.75	1.0	anger
劣质	-0.75	1.0	anger
卑劣	-0.75	1.0	anger
卡	-0.25	1.0	sentiment
卡顿	-0.4	1.0	sadness
危害	-0.65	1.0	criticism
危机	-0.6	1.0	criticism
危险	-0.6	1.0	criticism
厌倦	-0.5	1.0	sadness
厌恶	-0.75	1.0	anger
厌烦	-0.6	1.0	criticism
反感	-0.65	1.0	criticism
受不了	-0.65	1.0	criticism
可叹	-0.5	1.0	sadness
可怕	-0.65	1.0	criticism
可恨	-0.75	1.0	anger
可恶	-0.7	1.0	criticism
可悲	-0.65	1.0	criticism
可惜	-0.35	1.0	sadness
可气	-0.6	1.0	criticism
叹息	-0.45	1.0	sadness
吃惊	-0.25	1.0	sentiment
后悔	-0.55	1.0	criticism
吓人	-0.55	1.0	criticism
吵架	-0.55	1.0	criticism
咆哮	-0.65	1.0	criticism
哀伤	-0.75	1.0	anger
哭	-0.45	1.0	sadness
哭泣	-0.65	1.0	criticism
嘲笑	-0.6	1.0	criticism
嘲讽	-0.65	1.0	criticism
困	-0.25	1.0	sentiment
困难	-0.45	1.0	sadness
坑	-0.5	1.0	sadness
坑爹	-0.55	1.0	criticism
垃圾	-0.75	1.0	anger
垮掉	-0.7	1.0	criticism
堕落	-0.75	1.0	anger
复杂	-0.2	1.0	sentiment
多余	-0.35	1.0	sadness
失望	-0.6	1.0	criticism
失落	-0.55	1.0	criticism
失误	-0.5	1.0	sadness
失败	-0.7	1.0	criticism
套路	-0.5	1.0	sadness
威胁	-0.6	1.0	criticism
嫉妒	-0.55	1.0	criticism
嫌弃	-0.6	1.0	criticism
孤独	-0.6	1.0	criticism
害怕	-0.55	1.0	criticism
寂寞	-0.55	1.0	criticism
尴尬	-0.4	1.0	sadness
崩溃	-0.7	1.0	criticism
差	-0.5	1.0	sadness
差劲	-0.65	1.0	criticism
废	-0.55	1.0	criticism
废物	-0.8	1.0	anger
延迟	-0.35	1.0	sadness
心疼	-0.55	1.0	criticism
心痛	-0.65	1.0	criticism
心碎	-0.8	1.0	anger
心酸	-0.65	1.0	criticism
忍无可忍	-0.8	1.0	anger
忧伤	-0.65	1.0	criticism
忧郁	-0.6	1.0	criticism
忽悠	-0.55	1.0	criticism
忽略	-0.45	1.0	sadness
忽视	-0.55	1.0	criticism
怒不可遏	-0.85	1.0	anger
怒火	-0.75	1.0	anger
急躁	-0.45	1.0	sadness
怨恨	-0.75	1.0	anger
怯懦	-0.55	1.0	criticism
恐怖	-0.75	1.0	anger
恐惧	-0.7	1.0	criticism
恨	-0.8	1.0	anger
恶劣	-0.8	1.0	anger
恶心	-0.8	1.0	anger
恼人	-0.55	1.0	criticism
恼怒	-0.7	1.0	criticism
恼火	-0.65	1.0	criticism
患病	-0.55	1.0	criticism
悲伤	-0.7	1.0	criticism
悲惨	-0.75	1.0	anger
悲痛	-0.8	1.0	anger
惆怅	-0.5	1.0	sadness
惊悚	-0.7	1.0	criticism
惊慌	-0.65	1.0	criticism
惊讶	-0.15	1.0	sentiment
惋惜	-0.45	1.0	sadness
惨	-0.55	1.0	criticism
惨不忍睹	-0.85	1.0	anger
惶恐	-0.7	1.0	criticism
惹怒	-0.7	1.0	criticism
愚昧	-0.65	1.0	criticism
愚蠢	-0.6	1.0	criticism
感伤	-0.55	1.0	criticism
愤怒	-0.75	1.0	anger
愤恨	-0.8	1.0	anger
愤慨	-0.75	1.0	anger
慌张	-0.55	1.0	criticism
慢	-0.3	1.0	sentiment
憎恨	-0.85	1.0	anger
懈怠	-0.5	1.0	sadness
懒惰	-0.5	1.0	sadness
懦弱	-0.55	1.0	criticism
抑郁	-0.75	1.0	anger
折腾	-0.4	1.0	sadness
抛弃	-0.75	1.0	anger
担心	-0.4	1.0	sadness
担忧	-0.45	1.0	sadness
拖延	-0.4	1.0	sadness
挂	-0.4	1.0	sadness
摧毁	-0.75	1.0	anger
故障	-0.45	1.0	sadness
斥责	-0.6	1.0	criticism
无力	-0.5	1.0	sadness
无助	-0.7	1.0	criticism
无奈	-0.45	1.0	sadness
无序	-0.5	1.0	sadness
无知	-0.55	1.0	criticism
无耻	-0.8	1.0	anger
无聊	-0.45	1.0	sadness
无趣	-0.5	1.0	sadness
昂贵	-0.45	1.0	sadness
暴怒	-0.85	1.0	anger
暴行	-0.85	1.0	anger
暴躁	-0.65	1.0	criticism
杂乱	-0.5	1.0	sadness
枯燥	-0.5	1.0	sadness
棘手	-0.55	1.0	criticism
欺凌	-0.75	1.0	anger
欺负	-0.65	1.0	criticism
欺骗	-0.75	1.0	anger
歧视	-0.8	1.0	anger
死机	-0.6	1.0	criticism
残忍	-0.8	1.0	anger
残暴	-0.85	1.0	anger
毁灭	-0.85	1.0	anger
毛骨悚然	-0.8	1.0	anger
气人	-0.55	1.0	criticism
气愤	-0.65	1.0	criticism
气馁	-0.55	1.0	criticism
水	-0.35	1.0	sadness
污染	-0.6	1.0	criticism
沉痛	-0.8	1.0	anger
没落	-0.6	1.0	criticism
沮丧	-0.6	1.0	criticism
泪	-0.4	1.0	sadness
流泪	-0.6	1.0	criticism
浪费	-0.5	1.0	sadness
消沉	-0.6	1.0	criticism
混乱	-0.6	1.0	criticism
渴	-0.25	1.0	sentiment
漏洞	-0.4	1.0	sadness
激怒	-0.7	1.0	criticism
激愤	-0.75	1.0	anger
火大	-0.6	1.0	criticism
灰心	-0.55	1.0	criticism
烂	-0.6	1.0	criticism
烦	-0.45	1.0	sadness
烦人	-0.55	1.0	criticism
烦躁	-0.55	1.0	criticism
烧钱	-0.55	1.0	criticism
热	-0.15	1.0	sentiment
焦虑	-0.55	1.0	criticism
狂怒	-0.9	1.0	anger
生气	-0.6	1.0	criticism
生病	-0.5	1.0	sadness
畏惧	-0.6	1.0	criticism
疲劳	-0.45	1.0	sadness
疲惫	-0.5	1.0	sadness
疼	-0.45	1.0	sadness
疼痛	-0.55	1.0	criticism
病	-0.5	1.0	sadness
痛	-0.5	1.0	sadness
痛苦	-0.75	1.0	anger
眼红	-0.45	1.0	sadness
矛盾	-0.4	1.0	sadness
破坏	-0.6	1.0	criticism
窘迫	-0.55	1.0	criticism
粗劣	-0.7	1.0	criticism
糟糕	-0.75	1.0	anger
糟糕透顶	-0.9	1.0	anger
紧张	-0.4	1.0	sadness
累	-0.35	1.0	sadness
繁琐	-0.4	1.0	sadness
绝望	-0.85	1.0	anger
缺陷	-0.55	1.0	criticism
羡慕嫉妒	-0.5	1.0	sadness
胆怯	-0.55	1.0	criticism
背叛	-0.8	1.0	anger
脆弱	-0.5	1.0	sadness
腐朽	-0.75	1.0	anger
腐败	-0.85	1.0	anger
腻	-0.35	1.0	sadness
艰辛	-0.55	1.0	criticism
艰难	-0.55	1.0	criticism
荒凉	-0.5	1.0	sadness
荒唐	-0.55	1.0	criticism
萧条	-0.55	1.0	criticism
虚假	-0.7	1.0	criticism
蠢	-0.5	1.0	sadness
衰败	-0.65	1.0	criticism
讥讽	-0.65	1.0	criticism
讨厌	-0.65	1.0	criticism
讽刺	-0.55	1.0	criticism
贵	-0.35	1.0	sadness
费力	-0.35	1.0	sadness
软弱	-0.5	1.0	sadness
遗憾	-0.45	1.0	sadness
鄙视	-0.7	1.0	criticism
错误	-0.45	1.0	sadness
闪退	-0.55	1.0	criticism
问题	-0.25	1.0	sentiment
难吃	-0.55	1.0	criticism
难听	-0.55	1.0	criticism
难堪	-0.55	1.0	criticism
难用	-0.55	1.0	criticism
难看	-0.5	1.0	sadness
难过	-0.6	1.0	criticism
震惊	-0.4	1.0	sadness
霸凌	-0.8	1.0	anger
风险	-0.45	1.0	sadness
饿	-0.3	1.0	sentiment
马虎	-0.4	1.0	sadness
骂	-0.55	1.0	criticism
骗子	-0.75	1.0	anger
麻烦	-0.45	1.0	sadness
龌龊	-0.7	1.0	criticism
不	-1.0	0.0	negation
不会	-1.0	0.0	negation
不准	-1.0	0.0	negation
不可	-1.0	0.0	negation
不得	-1.0	0.0	negation
不必	-1.0	0.0	negation
不用	-1.0	0.0	negation
不能	-1.0	0.0	negation
不要	-1.0	0.0	negation
不许	-1.0	0.0	negation
从不	-1.0	0.0	negation
从未	-1.0	0.0	negation
休	-1.0	0.0	negation
何必	-1.0	0.0	negation
决不	-1.0	0.0	negation
别	-1.0	0.0	negation
勿	-1.0	0.0	negation
哪	-1.0	0.0	negation
尚无	-1.0	0.0	negation
岂	-1.0	0.0	negation
并未	-1.0	0.0	negation
并非	-1.0	0.0	negation
怎	-1.0	0.0	negation
无	-1.0	0.0	negation
未	-1.0	0.0	negation
毫不	-1.0	0.0	negation
毫无	-1.0	0.0	negation
没	-1.0	0.0	negation
没有	-1.0	0.0	negation
莫	-1.0	0.0	negation
难道	-1.0	0.0	negation
非	-1.0	0.0	negation
万分	0.0	2.5	intensifier
不大	0.0	0.3	diminisher
不太	0.0	0.3	diminisher
不怎么	0.0	0.3	diminisher
分外	0.0	2.0	intensifier
十分	0.0	2.0	intensifier
多	0.0	1.3	intensifier
多么	0.0	2.0	intensifier
多少	0.0	0.5	diminisher
够	0.0	1.3	intensifier
太	0.0	1.8	intensifier
好	0.0	1.5	intensifier
如此	0.0	1.5	intensifier
尤其	0.0	2.0	intensifier
异常	0.0	2.0	intensifier
很	0.0	1.5	intensifier
怪	0.0	1.3	intensifier
愈加	0.0	1.5	intensifier
挺	0.0	1.3	intensifier
更	0.0	1.5	intensifier
更加	0.0	1.5	intensifier
有些	0.0	0.5	diminisher
有点	0.0	0.5	diminisher
极其	0.0	2.5	intensifier
极度	0.0	2.5	intensifier
格外	0.0	2.0	intensifier
比较	0.0	1.3	intensifier
满	0.0	1.3	intensifier
特别	0.0	2.0	intensifier
甚	0.0	1.8	intensifier
略	0.0	0.5	diminisher
略为	0.0	0.4	diminisher
略微	0.0	0.3	diminisher
相当	0.0	1.8	intensifier
真	0.0	1.5	intensifier
稍	0.0	0.5	diminisher
稍微	0.0	0.3	diminisher
稍稍	0.0	0.3	diminisher
绝对	0.0	1.8	intensifier
蛮	0.0	1.3	intensifier
越发	0.0	1.5	intensifier
越来越	0.0	1.8	intensifier
较	0.0	1.3	intensifier
还算	0.0	0.5	diminisher
这么	0.0	1.3	intensifier
那么	0.0	1.3	intensifier
非常	0.0	2.0	intensifier
颇	0.0	1.8	intensifier
下饭	0.5	1.0	joy
不负众望	0.72	1.0	praise
与众不同	0.65	1.0	praise
丰裕	0.52	1.0	joy
乐	0.5	1.0	joy
乐不可支	0.72	1.0	praise
乐乐	0.55	1.0	joy
乐呵呵	0.6	1.0	joy
乐在其中	0.65	1.0	praise
乐此不疲	0.62	1.0	praise
令人满意	0.65	1.0	praise
众望所归	0.75	1.0	praise
体验极佳	0.82	1.0	praise
俊秀	0.6	1.0	joy
俊美	0.65	1.0	praise
值得信赖	0.72	1.0	praise
健全	0.48	1.0	joy
健壮	0.55	1.0	joy
健康	0.55	1.0	joy
充沛	0.55	1.0	joy
光彩照人	0.7	1.0	praise
入口即化	0.72	1.0	praise
兴旺	0.55	1.0	joy
兴高采烈	0.75	1.0	praise
其乐无穷	0.7	1.0	praise
出类拔萃	0.85	1.0	praise
划算	0.5	1.0	joy
创意十足	0.68	1.0	praise
别具一格	0.65	1.0	praise
别出心裁	0.68	1.0	praise
到位	0.52	1.0	joy
勃勃	0.55	1.0	joy
匠心独运	0.72	1.0	praise
博学	0.65	1.0	praise
厚重	0.48	1.0	joy
及时	0.48	1.0	joy
口碑载道	0.78	1.0	praise
名列前茅	0.8	1.0	praise
名副其实	0.7	1.0	praise
周全	0.58	1.0	joy
周到	0.68	1.0	praise
周正	0.48	1.0	joy
唇齿留香	0.72	1.0	praise
唯美	0.75	1.0	praise
喜	0.55	1.0	joy
喜出望外	0.8	1.0	praise
喜气洋洋	0.68	1.0	praise
喜滋滋	0.65	1.0	praise
喷香	0.62	1.0	praise
回味无穷	0.7	1.0	praise
多才	0.62	1.0	praise
大赞	0.75	1.0	praise
天赋	0.62	1.0	praise
奇思妙想	0.65	1.0	praise
好评如潮	0.78	1.0	praise
如画	0.72	1.0	praise
如诗	0.7	1.0	praise
如诗如画	0.78	1.0	praise
妖娆	0.5	1.0	joy
妙笔生花	0.72	1.0	praise
妩媚	0.55	1.0	joy
娇美	0.62	1.0	praise
娟秀	0.58	1.0	joy
嫩滑	0.58	1.0	joy
安宁	0.58	1.0	joy
安心	0.55	1.0	joy
安详	0.55	1.0	joy
完善	0.5	1.0	joy
完备	0.55	1.0	joy
实惠	0.52	1.0	joy
实至名归	0.78	1.0	praise
宽敞	0.55	1.0	joy
宾至如归	0.75	1.0	praise
富裕	0.52	1.0	joy
富贵	0.55	1.0	joy
富足	0.55	1.0	joy
小康	0.48	1.0	joy
尽职	0.58	1.0	joy
巧夺天工	0.78	1.0	praise
开怀大笑	0.7	1.0	praise
开胃	0.52	1.0	joy
强壮	0.5	1.0	joy
得意洋洋	0.55	1.0	joy
心旷神怡	0.75	1.0	praise
心灵手巧	0.68	1.0	praise
心花怒放	0.78	1.0	praise
快捷	0.48	1.0	joy
快活	0.6	1.0	joy
性价比高	0.65	1.0	praise
意犹未尽	0.68	1.0	praise
才华	0.65	1.0	praise
才思敏捷	0.68	1.0	praise
才气	0.65	1.0	praise
振奋	0.62	1.0	praise
捡漏	0.55	1.0	joy
捧腹大笑	0.68	1.0	praise
整洁	0.5	1.0	joy
无与伦比	0.92	1.0	praise
旺盛	0.52	1.0	joy
昂扬	0.58	1.0	joy
昌盛	0.68	1.0	praise
明亮	0.5	1.0	joy
有口皆碑	0.8	1.0	praise
服务一流	0.78	1.0	praise
朝气	0.55	1.0	joy
朝气蓬勃	0.65	1.0	praise
极品	0.9	1.0	praise
标致	0.62	1.0	praise
欢天喜地	0.72	1.0	praise
欣欣向荣	0.68	1.0	praise
气质	0.55	1.0	joy
沉稳	0.5	1.0	joy
活力	0.58	1.0	joy
浓郁	0.5	1.0	joy
深邃	0.65	1.0	praise
清淡	0.25	1.0	sentiment
清秀	0.58	1.0	joy
清纯	0.55	1.0	joy
渊博	0.68	1.0	praise
温馨舒适	0.75	1.0	praise
满面春风	0.65	1.0	praise
热情周到	0.72	1.0	praise
焕发	0.58	1.0	joy
焕然一新	0.72	1.0	praise
爽口	0.55	1.0	joy
物美价廉	0.72	1.0	praise
独具匠心	0.72	1.0	praise
独占鳌头	0.85	1.0	praise
独树一帜	0.7	1.0	praise
生机	0.55	1.0	joy
生龙活虎	0.68	1.0	praise
用心	0.6	1.0	joy
盛世	0.62	1.0	praise
睿智	0.72	1.0	praise
矫健	0.55	1.0	joy
硬朗	0.52	1.0	joy
神来之笔	0.75	1.0	praise
神采奕奕	0.65	1.0	praise
秀丽	0.62	1.0	praise
秀美	0.65	1.0	praise
稳	0.45	1.0	joy
稳健	0.52	1.0	joy
稳妥	0.5	1.0	joy
稳步	0.48	1.0	joy
端正	0.5	1.0	joy
笑容满面	0.65	1.0	praise
精力充沛	0.62	1.0	praise
精神抖擞	0.65	1.0	praise
纯净	0.58	1.0	joy
细心	0.58	1.0	joy
绝佳	0.88	1.0	praise
绝妙	0.88	1.0	praise
绝美	0.8	1.0	praise
美	0.6	1.0	joy
美不胜收	0.78	1.0	praise
考究	0.68	1.0	praise
耐人寻味	0.65	1.0	praise
耐心	0.55	1.0	joy
耐看	0.6	1.0	joy
耳目一新	0.7	1.0	praise
脑洞大开	0.62	1.0	praise
脱颖而出	0.75	1.0	praise
舒心	0.6	1.0	joy
舒畅	0.62	1.0	praise
艳美	0.58	1.0	joy
英姿	0.6	1.0	joy
英明	0.72	1.0	praise
蓬勃	0.58	1.0	joy
血赚	0.55	1.0	joy
解馋	0.55	1.0	joy
让人放心	0.62	1.0	praise
讲究	0.55	1.0	joy
负责	0.55	1.0	joy
贴心	0.68	1.0	praise
赚到	0.52	1.0	joy
超值	0.68	1.0	praise
超赞	0.85	1.0	praise
踏实	0.52	1.0	joy
身心愉悦	0.72	1.0	praise
迅速	0.45	1.0	joy
过瘾	0.6	1.0	joy
通透	0.55	1.0	joy
遥遥领先	0.82	1.0	praise
酥脆	0.55	1.0	joy
醇厚	0.6	1.0	joy
雅致	0.7	1.0	praise
靠谱	0.55	1.0	joy
风度	0.58	1.0	joy
风采	0.6	1.0	joy
飒爽	0.62	1.0	praise
首屈一指	0.88	1.0	praise
香	0.48	1.0	joy
高明	0.68	1.0	praise
魅力四射	0.72	1.0	praise
鲜	0.5	1.0	joy
鲜嫩	0.62	1.0	praise
鲜美	0.65	1.0	praise
鲜美多汁	0.68	1.0	praise
鹤立鸡群	0.78	1.0	praise
鼎盛	0.65	1.0	praise
龙马精神	0.65	1.0	praise
一筹莫展	-0.62	1.0	criticism
一败涂地	-0.85	1.0	anger
万念俱灰	-0.85	1.0	anger
下贱	-0.75	1.0	anger
不可饶恕	-0.82	1.0	anger
不寒而栗	-0.75	1.0	anger
不屑	-0.55	1.0	criticism
不齿	-0.65	1.0	criticism
丑恶	-0.75	1.0	anger
丑陋	-0.65	1.0	criticism
严峻	-0.48	1.0	sadness
严重	-0.45	1.0	sadness
丧心病狂	-0.85	1.0	anger
临终	-0.58	1.0	criticism
举步维艰	-0.65	1.0	criticism
义愤填膺	-0.72	1.0	anger
人心惶惶	-0.68	1.0	criticism
人渣	-0.85	1.0	anger
令人作呕	-0.82	1.0	anger
令人厌恶	-0.72	1.0	anger
令人反胃	-0.78	1.0	anger
令人发指	-0.85	1.0	anger
令人气愤	-0.72	1.0	anger
伪善	-0.72	1.0	anger
体无完肤	-0.78	1.0	anger
倒退	-0.58	1.0	criticism
做作	-0.55	1.0	criticism
停滞	-0.52	1.0	criticism
僵化	-0.55	1.0	criticism
凄凉	-0.7	1.0	criticism
凄厉	-0.65	1.0	criticism
凄惨	-0.72	1.0	anger
凄楚	-0.68	1.0	criticism
凄然	-0.65	1.0	criticism
加剧	-0.48	1.0	sadness
动乱	-0.7	1.0	criticism
动荡	-0.62	1.0	criticism
勃然大怒	-0.78	1.0	anger
十恶不赦	-0.88	1.0	anger
卑劣	-0.72	1.0	anger
卑鄙	-0.75	1.0	anger
厌弃	-0.62	1.0	criticism
发抖	-0.5	1.0	sadness
受罪	-0.55	1.0	criticism
受苦	-0.55	1.0	criticism
咬牙切齿	-0.78	1.0	anger
哀	-0.55	1.0	criticism
哀嚎	-0.68	1.0	criticism
哀怨	-0.62	1.0	criticism
哀痛	-0.72	1.0	anger
哀莫大于心死	-0.88	1.0	anger
哆嗦	-0.5	1.0	sadness
哽咽	-0.62	1.0	criticism
唾弃	-0.75	1.0	anger
啜泣	-0.58	1.0	criticism
嚎啕	-0.62	1.0	criticism
回天乏术	-0.68	1.0	criticism
